Lat,Long
30.376067826,-97.725791806
30.376067826,-97.725791806
30.376067826,-97.725791806
30.376067826,-97.725791806
30.376067826,-97.725791806
30.376067826,-97.725791806
30.442847166,-97.665416848
30.442847166,-97.665416848
30.442847166,-97.665416848
30.442847166,-97.665416848
30.442847166,-97.665416848
30.331554027,-97.62326177
30.331554027,-97.62326177
30.331554027,-97.62326177
30.331554027,-97.62326177
30.371742438,-97.680569528
30.371742438,-97.680569528
30.371742438,-97.680569528
30.258669897,-97.693400012
30.258669897,-97.693400012
30.258669897,-97.693400012
30.288663793,-97.747802693
30.288663793,-97.747802693
30.288663793,-97.747802693
30.424514362,-97.713259589
30.424514362,-97.713259589
30.353685904,-97.753508793
30.389995454,-97.880886615
30.389995454,-97.880886615
30.29569122,-97.828295991
30.29569122,-97.828295991
30.29569122,-97.828295991
30.173450591,-97.823850988
30.188400586,-97.746148696
30.399498926,-97.654713058
30.399498926,-97.654713058
30.461545243,-97.792899547
30.461545243,-97.792899547
30.21531355,-97.857498152
30.303444112,-97.661041634
30.400084835,-97.7463923
30.400084835,-97.7463923
30.400084835,-97.7463923
30.332250683,-97.703837033
30.192527901,-97.777574588
30.404522339,-97.640026213
30.404522339,-97.640026213
30.404522339,-97.640026213
30.268600262,-97.742590922
30.268600262,-97.742590922
30.268600262,-97.742590922
30.289507263,-97.707411759
30.270660542,-97.741810828
30.243663731,-97.78231699
30.243663731,-97.78231699
30.243663731,-97.78231699
30.243663731,-97.78231699
30.243663731,-97.78231699
30.243663731,-97.78231699
30.348136514,-97.714316231
30.348136514,-97.714316231
30.348136514,-97.714316231
30.348136514,-97.714316231
30.229404244,-97.73032373
30.229404244,-97.73032373
30.229404244,-97.73032373
30.229404244,-97.73032373
30.229404244,-97.73032373
30.229404244,-97.73032373
30.21531355,-97.857498152
30.21531355,-97.857498152
30.21531355,-97.857498152
30.21531355,-97.857498152
30.21531355,-97.857498152
30.21531355,-97.857498152
30.431590544,-97.801356336
30.431590544,-97.801356336
30.431590544,-97.801356336
30.431590544,-97.801356336
30.431590544,-97.801356336
30.494733264,-97.78775576
30.494733264,-97.78775576
30.494733264,-97.78775576
30.494733264,-97.78775576
30.494733264,-97.78775576
30.257856386,-97.720730984
30.257856386,-97.720730984
30.257856386,-97.720730984
30.257856386,-97.720730984
30.341084079,-97.530636424
30.341084079,-97.530636424
30.341084079,-97.530636424
30.341084079,-97.530636424
30.341084079,-97.530636424
30.341084079,-97.530636424
30.425415447,-97.715332544
30.425415447,-97.715332544
30.294927597,-97.783742363
30.294927597,-97.783742363
30.294927597,-97.783742363
30.294927597,-97.783742363
30.294927597,-97.783742363
30.294927597,-97.783742363
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.205028616,-97.662558802
30.205028616,-97.662558802
30.205028616,-97.662558802
30.205028616,-97.662558802
30.205028616,-97.662558802
30.205028616,-97.662558802
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.202654022,-97.665444503
30.217456234,-97.846987655
30.217456234,-97.846987655
30.217456234,-97.846987655
30.217456234,-97.846987655
30.217456234,-97.846987655
30.256282999,-97.810723796
30.256282999,-97.810723796
30.256282999,-97.810723796
30.256282999,-97.810723796
30.256282999,-97.810723796
30.291693142,-97.74432165
30.291693142,-97.74432165
30.291693142,-97.74432165
30.204484997,-97.756066858
30.204484997,-97.756066858
30.204484997,-97.756066858
30.204484997,-97.756066858
30.204484997,-97.756066858
30.204484997,-97.756066858
30.265146874,-97.747142436
30.265146874,-97.747142436
30.265146874,-97.747142436
30.265146874,-97.747142436
30.403675346,-97.660502366
30.403675346,-97.660502366
30.403675346,-97.660502366
30.403675346,-97.660502366
30.403675346,-97.660502366
30.389995454,-97.880886615
30.389995454,-97.880886615
30.389995454,-97.880886615
30.389995454,-97.880886615
30.389995454,-97.880886615
30.389995454,-97.880886615
30.232324126,-97.758545416
30.232324126,-97.758545416
30.232324126,-97.758545416
30.232324126,-97.758545416
30.232324126,-97.758545416
30.356746364,-97.685626719
30.356746364,-97.685626719
30.356746364,-97.685626719
30.356746364,-97.685626719
30.449295335,-97.656917617
30.449295335,-97.656917617
30.449295335,-97.656917617
30.449295335,-97.656917617
30.449295335,-97.656917617
30.449295335,-97.656917617
30.326387195,-97.692225837
30.326387195,-97.692225837
30.326387195,-97.692225837
30.285664404,-97.706016345
30.445367206,-97.743318012
30.445367206,-97.743318012
30.445367206,-97.743318012
30.445367206,-97.743318012
30.445367206,-97.743318012
30.150708005,-97.802092451
30.150708005,-97.802092451
30.150708005,-97.802092451
30.150708005,-97.802092451
30.150708005,-97.802092451
30.150708005,-97.802092451
30.264673286,-97.721168851
30.264673286,-97.721168851
30.264673286,-97.721168851
30.264673286,-97.721168851
30.264673286,-97.721168851
30.23255343,-97.786505535
30.23255343,-97.786505535
30.23255343,-97.786505535
30.23255343,-97.786505535
30.23255343,-97.786505535
30.255166961,-97.76206679
30.255166961,-97.76206679
30.255166961,-97.76206679
30.358095686,-97.735038867
30.502653109,-97.825497187
30.502653109,-97.825497187
30.20097654,-97.867354684
30.20097654,-97.867354684
30.20097654,-97.867354684
30.20097654,-97.867354684
30.282382705,-97.719811463
30.282382705,-97.719811463
30.361317466,-97.742460715
30.361317466,-97.742460715
30.361317466,-97.742460715
30.361317466,-97.742460715
30.304679358,-97.68123422
30.304679358,-97.68123422
30.304679358,-97.68123422
30.304679358,-97.68123422
30.236112829,-97.69212674
30.236112829,-97.69212674
30.236112829,-97.69212674
30.236112829,-97.69212674
30.236112829,-97.69212674
30.236112829,-97.69212674
30.236112829,-97.69212674
30.193003661,-97.738975062
30.215583776,-97.768534548
30.215583776,-97.768534548
30.193003661,-97.738975062
30.193003661,-97.738975062
30.193003661,-97.738975062
30.215583776,-97.768534548
30.215583776,-97.768534548
30.193003661,-97.738975062
30.215583776,-97.768534548
30.193003661,-97.738975062
30.196805039,-97.743796209
30.196805039,-97.743796209
30.196805039,-97.743796209
30.196805039,-97.743796209
30.196805039,-97.743796209
30.196805039,-97.743796209
30.402828418,-97.724032272
30.402828418,-97.724032272
30.402828418,-97.724032272
